Actual SSE,Actual Rise Time,Predicted SSE (Poly),Predicted Rise Time (Poly),Predicted SSE (RF),Predicted Rise Time (RF),Predicted SSE (XGB),Predicted Rise Time (XGB)
0.010541,18.65,0.009550094604492188,9.03125,0.04774094388,13.73550000000001,0.00026576585,17.301477
-0.002765131,3.75,0.0011539459228515625,11.783203125,0.0015805765900000013,18.06549999999999,0.0005015753,18.756214
0.006124085,18.25,-0.000682830810546875,8.50390625,-0.0013090122099999987,6.184999999999992,-0.001043961,5.5486307
0.00088913,8.85,5.53131103515625e-05,10.318359375,0.0012104421999999996,13.461999999999984,-0.005262517,4.0589595
0.007801682,19.0,0.0004253387451171875,10.0390625,-0.006371815099999999,5.532999999999996,-0.005262517,4.0589595
0.006427701,18.65,0.0018062591552734375,9.35546875,-0.002014904677500001,7.417958333333326,-0.0047920058,6.29188
-0.004337354,2.55,0.0007076263427734375,6.908203125,0.0018698120100000004,3.999500000000004,0.006263933,4.2763634
0.009499341,19.7,0.017190933227539062,8.494140625,-0.01074318928000001,4.810000000000006,-0.0065283296,4.586034
-0.004097522,4.65,0.0008182525634765625,9.822265625,-0.001596289741333335,7.495149999999994,-0.00027862,7.7991996
-0.026180685,12.35,-0.014049530029296875,11.30859375,-0.011881429620000012,8.613500000000009,-0.011976652,8.376486
-0.001124605,3.3,0.00292205810546875,8.013671875,-0.0006716343899999999,6.438999999999993,-0.0007474331,4.0039034
-0.001417345,4.75,0.0025119781494140625,11.125,0.000999899500000001,5.948500000000003,0.0019956708,4.969802
0.007879682,19.1,-0.0026607513427734375,8.458984375,0.0003605052399999999,13.658500000000025,-0.0017531969,5.593631
0.00248715,17.5,0.0025348663330078125,10.11328125,-0.004192770065833331,5.475791666666662,-0.0042881323,4.969802
0.007640899,17.45,-0.0012874603271484375,9.4609375,-0.0033525073733333337,7.333666666666675,-0.0051065544,4.518966
-0.007355805,11.05,-0.0064678192138671875,10.814453125,-0.005150532229999997,8.533000000000001,-0.005471794,7.225984
0.02460734,20.25,0.030147552490234375,7.44921875,0.03132559064999997,8.120499999999991,0.051488232,10.01134
-0.0264688,4.35,0.026628494262695312,7.7421875,0.00733652984999999,5.330499999999995,0.051488232,10.01134
0.001386433,19.75,0.0021648406982421875,9.41796875,-0.0030664392010833325,8.417503571428574,-0.0022325467,8.576508
0.003904975,19.5,0.0025463104248046875,10.744140625,-0.0020113893900000016,5.739999999999997,0.0019956708,4.969802
